Row Type,Status,Sync errors,Advertiser,Engine,Account,Authorization status,Last authorization status update time,Campaign,Engine status,Daily budget,Engine bid strategy name,Clicks,Impr,Cost,CTR,Avg CPC,Avg pos,,BU,CHANNEL
campaign,Active,,Supermoney_Energia,Google AdWords,Supermoney_Energia,,,|1202|Energia|CTC|Day_[P],ELIGIBLE,1400,"CPA Target |1202|_2,5€",5028,128008,6630.92,0.0393,1.32,1.76,,ENERGIA,CTC
campaign,Active,,Supermoney_Energia,Google AdWords,Supermoney_Energia,,,|1004|Energia|Search|Comparazione_[PB],ELIGIBLE,117,(manual),433,8824,470.05,0.0491,1.09,4.06,,ENERGIA,SEARCH
campaign,Active,,Supermoney_Energia,Google AdWords,Supermoney_Energia,,,|1002|Energia|Search|Nome_Brand_[PB],ELIGIBLE,84.21,(manual),2368,28447,778.91,0.0832,0.33,2.63,,ENERGIA,SEARCH
campaign,Active,,Supermoney_Telefonia,Bing Ads,Supermoney_Telefonia,,,|2008|Telefonia|Search|Copertura_[PB],Active,300,,45,407,7.29,0.1106,0.16,1.55,,TELEFONIA,SEARCH
campaign,Active,,Supermoney,Google AdWords,Supermoney - AdWords,,,|4002|MUTU|SEAR|EXAC|BRAN|SKAG|,ELIGIBLE,30,"CPC Mutui 1,55€",207,4022,60.89,0.0515,0.29,4.51,,MUTUI,SEARCH
campaign,Active,,Supermoney_Prestiti,Google AdWords,Supermoney_Prestiti,,,|0004|Prestiti|Search|Finalità_Prestito_[PB],ELIGIBLE,200,(manual),764,10656,884.64,0.0717,1.16,3.18,,PRESTITI,SEARCH
campaign,Active,,Supermoney_Prestiti,Google AdWords,Supermoney_Prestiti,,,|0101|Prestiti|Display|Smart,ELIGIBLE,100,(Target CPA; 2.10),2345,295101,437.73,0.0079,0.19,1.02,,PRESTITI,DISPLAY
campaign,Active,,Supermoney_Telefonia,Bing Ads,Supermoney_Telefonia,,,|2006|Telefonia|Search|Generica_[PB],Active,300,,3413,248476,297.05,0.0137,0.09,2.6,,TELEFONIA,SEARCH
campaign,Active,,Supermoney_Prestiti,Google AdWords,Supermoney_Prestiti,,,|0013|Prestiti|Search|Generica_[E],ELIGIBLE,300,"CPA target |0013|_2,1€",619,13017,470.82,0.0476,0.76,3.47,,PRESTITI,SEARCH
campaign,Active,,Supermoney,Bing Ads,Supermoney - Bing,,,|4003|MUTU|SEAR|EXAC|HIVA|SKAG|,Active,80,,102,3022,24.3,0.0338,0.24,2.25,,MUTUI,SEARCH
campaign,Active,,Supermoney_Telefonia,Google AdWords,Supermoney_Telefonia,,,|2001|Telefonia|Search|Nome_Brand_[E],ELIGIBLE,123,(manual; Enhanced CPC),1917,24484,382.25,0.0783,0.2,3.15,,TELEFONIA,SEARCH
campaign,Active,,Supermoney_Prestiti,Google AdWords,Supermoney_Prestiti,,,|0002|Prestiti|Search|Cessionabili_[PB],ELIGIBLE,300,(manual),729,16681,916.55,0.0437,1.26,4.58,,PRESTITI,SEARCH
campaign,Active,,Supermoney_Telefonia,Bing Ads,Supermoney_Telefonia,,,|2003|Telefonia|Search|TIM_[E],Active,300,,319,14973,24.39,0.0213,0.08,2.67,,TELEFONIA,SEARCH
campaign,Active,,Supermoney_Telefonia,Google AdWords,Supermoney_Telefonia,,,|2007|Telefonia|Search|Copertura_[E],ELIGIBLE,37,(manual; Enhanced CPC),1161,7452,264.36,0.1558,0.23,1.95,,TELEFONIA,SEARCH
campaign,Active,,Supermoney_Telefonia,Google AdWords,Supermoney_Telefonia,,,|2201|Telefonia|CTC_[E],ELIGIBLE,250,(manual; Enhanced CPC),349,9648,331.4,0.0362,0.95,2.03,,TELEFONIA,CTC
campaign,Active,,Supermoney_Telefonia,Google AdWords,Supermoney_Telefonia,,,|2202|Telefonia|CTC_[P],ELIGIBLE,250,(manual; Enhanced CPC),1316,43324,1306.66,0.0304,0.99,2.04,,TELEFONIA,CTC
campaign,Active,,Supermoney_Prestiti,Google AdWords,Supermoney_Prestiti,,,|0007|Prestiti|Search|Nome_Brand_[E],ELIGIBLE,200,"CPA Target |0007|_1,60€",153,3012,46.87,0.0508,0.31,4.9,,PRESTITI,SEARCH
campaign,Active,,Supermoney_Energia,Google AdWords,Supermoney_Energia,,,|1204|Energia|CTC|Night_[P],ELIGIBLE,7,(manual; Enhanced CPC),75,813,25.48,0.0923,0.34,1.85,,ENERGIA,CTC
campaign,Active,,Supermoney,Google AdWords,Supermoney - AdWords,,,|0034|PRES|SEAR|MUMA|SUPE|NOSK|,ELIGIBLE,200,(manual; Enhanced CPC),24,65,11.22,0.3692,0.47,1.86,,PRESTITI,SEARCH
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A